,week,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,song_id,artist_id
991,9,1.0,0.0,1.0,4.0,0.0,7315.0,7320.0,70.0,0.0,1.0,15.0,110.0,-0.6485999822616577,0.0,77,65
999,9,0.5,0.0,0.5,0.0,0.0,11043.5,1272.5,144.5,0.0,1.0,16.5,91.0,0.6642500013113022,0.0,94,80
1000,10,0.5632183908045977,0.011494252873563218,0.5632183908045977,0.5287356321839081,0.2298850574712644,76133.70114942528,1265.3793103448277,449.17241379310343,10.0,58.0,19.1264367816092,114.9425287356322,0.10020689561363608,0.11494252873563217,95,81
1004,10,0.2352941176470588,0.05882352941176471,0.2352941176470588,0.7941176470588235,0.05882352941176471,295.11764705882354,197.5,2.9705882352941178,4.0,10.0,18.0,101.35294117647058,0.3184117569642909,0.17647058823529413,1,1
1010,10,1.0,0.0,1.0,0.0,10.0,4.0,5.0,0.0,1.0,1.0,21.0,140.0,-0.4388999938964844,3.0,74,62
1011,10,0.043128181397501165,0.0017892950794385317,0.043128181397501165,0.550485886163813,0.011938917167977788,1180.4826777726362,758.4149005090236,5.858121240166589,242.0,9128.0,20.531852537405523,126.32062316828629,0.5511725313620179,1.612278266234768,49,40
1012,10,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,2292.6666666666665,506.66666666666674,31.0,0.0,5.0,16.666666666666668,89.16666666666669,0.1306666632493337,0.16666666666666666,5,5
1014,10,0.1875,0.0,0.1875,0.0625,0.0,1886.875,1424.875,10.875,3.0,3.0,20.9375,119.9375,0.29734375094994897,1.5,3,3
1016,10,0.0,0.0,0.0,0.0,0.0,384.0,303.0,0.0,0.0,0.0,13.0,64.0,0.0,0.0,54,45
1017,10,0.05194805194805195,0.0,0.05194805194805195,0.987012987012987,0.012987012987012988,76.48051948051949,151.79220779220782,0.6233766233766234,2.0,17.0,19.103896103896105,106.67532467532469,0.5027753180497653,0.3116883116883117,9,8
1020,10,0.0,0.0,0.0,0.0,0.0,581.5,512.5,1.5,0.0,0.0,21.0,94.0,0.4083999991416931,0.0,52,43
